TransactionAmount,TransactionType,Channel,LoginAttempts,AccountBalance,CustomerOccupation,Cluster_DBSCAN
649.28,Debit,ATM,1.0,4875.86,Retired,0
795.31,Debit,ATM,2.0,7914.88,Doctor,-1
335.63,Debit,Online,1.0,1019.3899999999999,Retired,0
328.47,Debit,ATM,1.0,4323.66,Retired,0
34.01999999999998,Debit,Online,1.0,14214.48,Doctor,0
241.42,Credit,Online,1.0,13357.02,Doctor,0
55.31999999999999,Debit,ATM,1.0,241.78999999999996,Student,0
304.31,Debit,Branch,1.0,868.6099999999997,Student,0
435.27,Debit,Branch,1.0,4673.28,Retired,0
164.49,Debit,Branch,1.0,1509.27,Student,0
510.24,Debit,Online,1.0,781.6999999999998,Student,0
626.9,Debit,Online,1.0,265.5100000000002,Student,0
22.00999999999999,Credit,Online,1.0,1335.0900000000001,Engineer,0
425.34,Credit,Online,1.0,3907.54,Retired,0
424.56,Debit,Online,1.0,5183.85,Engineer,0
85.43,Debit,Branch,1.0,14904.9,Doctor,0
169.5,Debit,Branch,1.0,918.8800000000001,Student,0
104.63,Debit,ATM,1.0,4477.78,Retired,0
316.95,Debit,Branch,1.0,1324.0299999999997,Student,0
60.53999999999999,Credit,Branch,1.0,3534.93,Retired,0
292.56,Credit,Branch,1.0,4638.37,Retired,0
386.52,Debit,Branch,1.0,5630.61,Engineer,0
112.07,Debit,Branch,1.0,930.3000000000002,Student,0
568.52,Debit,ATM,1.0,5499.91,Engineer,0
263.99,Debit,Branch,2.0,4175.02,Retired,-1
349.64,Debit,Online,1.0,6651.62,Engineer,0
601.4,Credit,Branch,1.0,8458.29,Engineer,0
5.769999999999982,Debit,Online,1.0,13988.12,Doctor,0
201.33,Credit,Branch,1.0,2585.07,Engineer,0
298.42,Debit,Branch,1.0,3014.75,Retired,0
521.06,Debit,Branch,1.0,1951.42,Student,0
117.28,Credit,Online,1.0,3665.77,Engineer,0
189.12,Credit,Branch,1.0,977.0100000000002,Engineer,0
133.55,Debit,ATM,1.0,3846.28,Engineer,0
143.21,Debit,Online,1.0,6374.82,Engineer,0
24.769999999999982,Debit,ATM,1.0,5866.01,Retired,0
233.92,Credit,Online,1.0,6537.62,Student,0
1212.51,Debit,Branch,1.0,605.9499999999998,Student,0
232.12,Debit,ATM,1.0,6689.87,Engineer,0
162.63,Debit,Online,1.0,634.1700000000001,Student,0
91.53,Debit,Branch,1.0,14676.05,Doctor,0
120.29000000000002,Debit,Branch,1.0,1362.3900000000003,Student,0
174.25,Debit,Online,1.0,10528.34,Doctor,0
183.71,Debit,ATM,1.0,552.5200000000004,Engineer,0
345.39,Credit,Online,1.0,6451.96,Engineer,0
922.55,Debit,ATM,1.0,4715.84,Retired,0
259.91,Debit,Online,1.0,7176.86,Doctor,0
154.71,Debit,Online,1.0,1523.7200000000003,Doctor,0
1340.19,Credit,Online,1.0,8654.28,Engineer,-1
24.560000000000002,Debit,Branch,1.0,9869.93,Doctor,0
568.07,Debit,ATM,1.0,10556.81,Doctor,0
9.610000000000014,Credit,Online,1.0,12883.91,Doctor,0
392.96,Debit,Online,1.0,791.6499999999996,Student,0
716.93,Credit,Online,1.0,4064.02,Retired,0
223.85,Debit,ATM,4.0,2929.91,Engineer,-1
230.66,Debit,Branch,1.0,618.0500000000002,Student,0
442.12,Debit,Online,1.0,1375.8000000000002,Student,0
644.17,Debit,ATM,1.0,1143.52,Engineer,0
508.68,Credit,Branch,1.0,7708.41,Engineer,0
858.6300000000001,Credit,Branch,1.0,1872.96,Student,0
25.360000000000014,Debit,ATM,1.0,201.03999999999996,Engineer,0
147.62,Debit,Branch,1.0,2115.8,Retired,0
115.01999999999998,Debit,Branch,1.0,7643.66,Doctor,0
383.37,Debit,Branch,1.0,8901.93,Engineer,0
98.54000000000002,Credit,Online,1.0,9383.43,Student,0
83.24000000000001,Credit,Branch,1.0,1181.31,Doctor,0
196.16,Debit,Branch,1.0,9418.86,Engineer,0
129.94,Debit,ATM,1.0,7954.92,Engineer,0
306.9,Debit,Online,1.0,9418.08,Engineer,0
114.98000000000002,Debit,Online,1.0,6144.68,Retired,0
756.59,Debit,Branch,1.0,420.64999999999964,Student,0
503.76,Debit,Online,1.0,447.8199999999997,Student,0
143.03,Debit,ATM,1.0,7981.45,Retired,0
1045.22,Debit,ATM,1.0,1829.9,Retired,0
245.54,Debit,ATM,1.0,985.0599999999995,Student,0
254.37,Credit,Online,1.0,8849.26,Engineer,0
213.76,Credit,ATM,1.0,3528.72,Retired,0
327.86,Debit,Online,1.0,480.15999999999985,Engineer,0
2.5,Debit,Online,1.0,12145.27,Doctor,0
300.08,Credit,Online,1.0,13546.75,Doctor,0
56.97999999999999,Credit,ATM,2.0,5688.37,Engineer,-1
407.65,Debit,Online,1.0,8346.64,Engineer,0
115.82999999999996,Debit,Branch,1.0,6481.04,Engineer,0
53.56999999999999,Debit,ATM,1.0,1651.33,Retired,0
63.34,Credit,Online,1.0,11174.94,Doctor,0
317.87,Debit,Online,1.0,145.5,Student,0
331.65,Debit,Online,1.0,4172.57,Engineer,0
5.0400000000000205,Debit,ATM,1.0,5558.36,Retired,0
214.54,Credit,Online,1.0,11151.53,Doctor,0
598.81,Debit,Branch,1.0,1415.52,Doctor,0
841.28,Debit,Online,1.0,1103.6400000000008,Student,0
38.14999999999998,Debit,Online,1.0,303.6800000000003,Student,0
1036.66,Debit,Branch,1.0,5541.57,Doctor,0
124.72,Debit,Branch,1.0,6309.8,Engineer,0
302.45,Credit,Branch,1.0,5133.61,Retired,0
208.04,Debit,Online,1.0,9344.98,Engineer,0
5.769999999999982,Credit,Branch,1.0,1117.9700000000003,Student,0
381.33,Debit,ATM,1.0,11835.35,Doctor,0
16.160000000000025,Debit,ATM,1.0,14401.17,Doctor,0
486.08,Debit,Online,1.0,1748.69,Student,0
336.39,Debit,Branch,1.0,1000.46,Student,0
997.4300000000001,Debit,Online,1.0,6810.05,Doctor,0
234.57,Debit,Online,1.0,263.97999999999956,Student,0
6.0,Debit,Online,1.0,5442.76,Doctor,0
1049.92,Debit,ATM,1.0,2037.85,Retired,0
227.14,Debit,ATM,1.0,341.9399999999996,Student,0
233.74,Credit,Online,1.0,1066.5900000000001,Retired,0
113.01999999999998,Credit,Branch,1.0,6077.96,Retired,0
45.849999999999994,Debit,ATM,1.0,1659.15,Student,0
973.3900000000001,Debit,Branch,1.0,2042.2200000000003,Retired,0
514.95,Debit,Online,5.0,421.9300000000003,Doctor,-1
415.5,Debit,ATM,1.0,10113.66,Doctor,0
265.76,Debit,Online,1.0,4446.17,Retired,0
69.4,Debit,Online,1.0,6452.77,Retired,0
332.93,Credit,Branch,1.0,2788.2,Engineer,0
267.9,Debit,Online,1.0,596.1599999999999,Student,0
496.03,Debit,Branch,1.0,12904.66,Doctor,0
376.26,Debit,ATM,1.0,9062.4,Engineer,0
83.01999999999998,Credit,Online,1.0,9009.56,Engineer,0
93.25999999999999,Credit,Online,1.0,1152.1999999999998,Student,0
803.37,Credit,Branch,1.0,12168.37,Doctor,0
35.75999999999999,Debit,Branch,1.0,611.8599999999997,Student,0
28.53000000000003,Debit,Online,1.0,8670.53,Doctor,0
139.53,Credit,Online,1.0,10098.86,Doctor,0
307.57,Debit,Branch,1.0,5307.74,Doctor,0
60.650000000000006,Credit,Branch,1.0,1047.2799999999993,Retired,0
74.86000000000001,Debit,Branch,1.0,6921.48,Doctor,0
117.97,Debit,Branch,1.0,1475.46,Retired,0
231.91,Debit,ATM,1.0,112.76000000000022,Engineer,0
126.20999999999998,Debit,Branch,1.0,5669.66,Retired,0
506.28,Credit,Online,2.0,1309.9499999999998,Retired,-1
304.35,Debit,Branch,1.0,4057.1,Engineer,0
281.85,Debit,ATM,1.0,1585.98,Student,0
777.88,Debit,Branch,1.0,6825.55,Engineer,0
119.18,Debit,Branch,1.0,5516.5,Retired,0
177.19,Debit,Online,1.0,5343.3,Retired,0
260.88,Debit,Branch,1.0,903.0500000000002,Student,0
169.47,Debit,Online,1.0,1806.1599999999999,Student,0
73.23000000000002,Debit,Branch,1.0,787.7399999999998,Student,0
1362.55,Debit,ATM,1.0,2429.68,Engineer,0
792.57,Debit,ATM,1.0,770.3699999999999,Student,0
237.06,Debit,Online,1.0,1182.7700000000004,Retired,0
34.170000000000016,Credit,Online,1.0,726.5500000000002,Engineer,0
740.25,Debit,Online,1.0,14464.3,Doctor,0
453.54,Debit,ATM,1.0,12046.3,Doctor,0
300.47,Debit,Branch,1.0,7885.64,Retired,0
110.92999999999998,Credit,Branch,1.0,1952.35,Student,0
201.69,Debit,ATM,1.0,7328.52,Doctor,0
399.21,Debit,ATM,1.0,3210.39,Engineer,0
1041.88,Debit,Online,1.0,5726.2,Retired,0
630.36,Debit,ATM,1.0,1363.65,Retired,0
10.939999999999998,Credit,ATM,1.0,1241.9899999999998,Engineer,0
215.9,Debit,ATM,1.0,7873.28,Doctor,0
1422.55,Debit,Branch,1.0,5674.32,Retired,-1
226.37,Credit,Branch,1.0,9840.04,Doctor,0
444.89,Credit,Branch,1.0,10328.23,Doctor,0
280.57,Credit,Online,1.0,293.2399999999998,Student,0
488.54,Debit,Branch,1.0,7486.63,Engineer,0
3.3000000000000114,Credit,Branch,1.0,11385.37,Doctor,0
199.39,Debit,Branch,1.0,7264.79,Retired,0
20.360000000000014,Debit,Branch,1.0,2762.48,Retired,0
113.63999999999999,Debit,Online,1.0,6675.03,Retired,0
493.11,Debit,Branch,1.0,7432.99,Retired,0
307.41,Debit,ATM,1.0,1057.0000000000005,Student,0
11.180000000000007,Debit,Online,1.0,5956.89,Doctor,0
313.82,Debit,Branch,1.0,7261.59,Engineer,0
51.0,Debit,Branch,1.0,4943.16,Retired,0
140.98,Debit,Branch,1.0,8127.48,Engineer,0
288.04,Debit,ATM,1.0,1748.02,Retired,0
800.55,Debit,ATM,1.0,9660.22,Engineer,0
485.54,Debit,ATM,1.0,6371.51,Engineer,0
521.15,Debit,ATM,1.0,9442.47,Doctor,0
321.79,Credit,ATM,1.0,5959.2,Retired,0
304.93,Debit,ATM,1.0,13531.22,Doctor,0
432.08,Debit,ATM,1.0,11500.62,Doctor,0
694.2,Debit,ATM,1.0,1389.37,Retired,0
116.86000000000001,Debit,ATM,1.0,6706.56,Engineer,0
386.81,Credit,Online,1.0,7175.29,Doctor,0
74.88,Debit,ATM,1.0,420.6700000000001,Student,0
195.76,Debit,Branch,1.0,7323.53,Retired,0
134.7,Debit,ATM,1.0,8395.85,Doctor,0
890.24,Credit,Online,1.0,5140.93,Engineer,0
361.27,Debit,ATM,1.0,7945.57,Doctor,0
131.56,Debit,Branch,1.0,5873.54,Doctor,0
485.51,Credit,Online,1.0,3074.45,Retired,0
547.87,Debit,ATM,1.0,6155.76,Retired,0
457.29999999999995,Debit,Online,1.0,8318.29,Engineer,0
506.24,Debit,ATM,1.0,230.09000000000015,Engineer,0
486.59,Debit,Branch,1.0,2513.56,Retired,0
163.68,Debit,Branch,1.0,10090.05,Doctor,0
581.65,Debit,ATM,1.0,480.1899999999996,Student,0
52.00999999999999,Debit,ATM,1.0,1120.88,Doctor,0
630.24,Debit,ATM,1.0,370.8100000000004,Student,0
523.74,Debit,ATM,1.0,13498.55,Doctor,0
705.6,Debit,Branch,3.0,14804.7,Doctor,-1
217.5,Credit,Branch,1.0,3057.4,Engineer,0
91.48000000000002,Debit,ATM,1.0,14942.78,Doctor,0
5.25,Debit,ATM,1.0,14143.32,Doctor,0
54.03,Credit,ATM,1.0,6736.3,Retired,0
736.73,Debit,Branch,1.0,3313.07,Engineer,0
368.91,Debit,Branch,1.0,829.71,Doctor,0
33.06,Credit,Online,1.0,1540.87,Retired,0
66.5,Credit,Online,1.0,6820.23,Engineer,0
177.08,Debit,Online,1.0,13475.14,Doctor,0
588.54,Debit,Branch,1.0,714.4499999999998,Engineer,0
173.5,Debit,ATM,1.0,1306.9099999999999,Student,0
78.32999999999996,Credit,Online,1.0,7255.33,Engineer,0
40.660000000000025,Debit,Branch,1.0,1153.8400000000006,Retired,0
97.22,Credit,Branch,1.0,6647.73,Retired,0
34.06999999999999,Debit,Branch,1.0,8709.77,Student,0
492.06,Debit,Online,1.0,857.8999999999996,Student,0
842.01,Credit,Online,1.0,509.4499999999998,Doctor,0
73.55000000000001,Debit,ATM,1.0,2812.06,Engineer,0
760.53,Debit,Online,1.0,6179.91,Engineer,0
273.08,Credit,Branch,1.0,6609.3,Engineer,0
371.69,Debit,Branch,1.0,3484.32,Retired,0
218.96,Debit,ATM,1.0,754.21,Student,0
227.39,Debit,Online,1.0,751.0900000000001,Student,0
237.99,Credit,Branch,1.0,8510.09,Doctor,0
186.6,Debit,Online,1.0,1508.7200000000003,Doctor,0
341.15,Debit,Online,1.0,511.3699999999999,Student,0
434.58,Debit,ATM,1.0,12648.32,Doctor,0
312.88,Credit,Branch,1.0,233.21000000000004,Engineer,0
75.15,Debit,ATM,1.0,1092.92,Student,0
23.30000000000001,Debit,ATM,1.0,6711.15,Engineer,0
47.379999999999995,Credit,Online,1.0,459.3699999999999,Student,0
512.81,Debit,Branch,1.0,6994.34,Retired,0
488.15,Debit,Branch,1.0,7071.09,Engineer,0
12.819999999999993,Debit,ATM,1.0,9045.19,Engineer,0
66.9,Credit,Online,4.0,5238.71,Retired,-1
535.91,Debit,Online,1.0,9642.12,Engineer,0
270.72,Credit,Online,1.0,6263.96,Engineer,0
97.98000000000002,Debit,Branch,1.0,7460.33,Retired,0
196.08,Debit,Online,1.0,4233.82,Retired,0
251.18,Debit,ATM,1.0,8303.9,Engineer,0
44.52000000000004,Debit,Online,1.0,314.27999999999975,Student,0
178.87,Debit,Online,1.0,5241.23,Doctor,0
1176.28,Credit,ATM,5.0,323.6899999999996,Engineer,-1
386.68,Debit,Branch,1.0,6863.06,Doctor,0
167.14,Debit,Online,1.0,3877.73,Retired,0
345.22,Debit,Branch,1.0,4046.58,Retired,0
74.85,Debit,ATM,1.0,2409.73,Retired,0
671.73,Debit,Branch,1.0,5211.88,Engineer,0
255.04,Debit,ATM,1.0,6217.86,Engineer,0
45.77000000000001,Debit,Online,1.0,5978.12,Student,0
329.69,Credit,Online,1.0,1671.6599999999999,Student,0
362.04,Credit,Branch,2.0,8421.88,Doctor,-1
11.920000000000016,Debit,Branch,1.0,14611.9,Doctor,0
47.41999999999999,Debit,ATM,1.0,8253.52,Doctor,0
35.99000000000001,Debit,Branch,1.0,4489.79,Retired,0
151.19,Credit,Branch,1.0,11903.82,Doctor,0
242.62,Credit,Online,1.0,483.02000000000044,Student,0
48.72,Debit,Branch,1.0,816.0799999999999,Student,0
43.46000000000001,Debit,ATM,1.0,578.0599999999995,Student,0
1036.2099999999998,Debit,Online,1.0,477.3000000000002,Student,0
443.78999999999996,Debit,ATM,1.0,3133.8499999999995,Retired,0
365.14,Debit,Online,1.0,5894.09,Retired,0
757.41,Debit,ATM,1.0,9532.42,Student,0
20.54000000000002,Debit,Branch,1.0,5327.03,Engineer,0
475.36,Debit,ATM,1.0,2000.6,Engineer,0
34.74000000000001,Debit,ATM,1.0,6827.57,Retired,0
689.54,Debit,Branch,1.0,1633.7600000000002,Student,0
211.18,Debit,ATM,1.0,4069.17,Retired,0
211.36,Credit,Branch,1.0,7943.47,Engineer,0
744.41,Credit,Online,1.0,8842.47,Engineer,0
61.43000000000001,Debit,Online,1.0,1882.77,Student,0
167.44,Debit,Branch,1.0,12526.71,Doctor,0
361.46,Debit,Online,1.0,4737.84,Student,0
378.85,Debit,Branch,1.0,2300.53,Retired,0
241.11,Debit,Branch,1.0,12385.05,Doctor,0
131.93,Credit,Branch,1.0,4547.06,Engineer,0
20.28000000000003,Debit,Online,1.0,2047.83,Engineer,0
415.88,Debit,Branch,1.0,10008.33,Doctor,0
49.99000000000001,Debit,ATM,1.0,2299.64,Retired,0
1221.65,Debit,Online,1.0,243.92000000000007,Student,0
100.66,Debit,Branch,1.0,14473.33,Doctor,0
485.54,Debit,Online,1.0,1533.3199999999997,Student,0
321.15,Debit,Branch,1.0,7005.05,Doctor,0
711.3,Debit,Branch,1.0,955.3999999999996,Student,0
12.230000000000018,Debit,ATM,1.0,7844.88,Engineer,0
350.94,Debit,ATM,1.0,221.5600000000004,Student,0
301.85,Debit,Online,1.0,6586.19,Engineer,0
29.339999999999975,Debit,Online,1.0,3944.82,Retired,0
231.71,Debit,Branch,1.0,1127.98,Student,0
179.43,Debit,ATM,1.0,2626.63,Retired,0
36.70999999999998,Debit,Branch,1.0,6459.38,Doctor,0
138.12,Credit,Branch,1.0,1649.69,Doctor,0
233.24,Debit,ATM,1.0,6939.23,Engineer,0
609.14,Debit,ATM,1.0,9033.87,Engineer,0
436.64,Debit,Branch,1.0,14365.18,Doctor,0
870.4300000000001,Debit,Branch,1.0,10115.18,Doctor,0
354.4,Debit,ATM,1.0,7358.65,Retired,0
22.629999999999995,Debit,Online,1.0,4438.03,Engineer,0
182.19,Debit,Branch,1.0,1176.1,Student,0
126.81,Debit,Branch,1.0,5427.98,Engineer,0
288.17,Debit,Online,1.0,3653.11,Engineer,0
118.76999999999995,Debit,Branch,1.0,2104.82,Engineer,0
651.82,Debit,ATM,1.0,1802.77,Student,0
66.65000000000003,Debit,ATM,1.0,3559.96,Engineer,0
98.53,Debit,Branch,1.0,3564.8,Retired,0
138.94999999999996,Debit,Online,1.0,6752.92,Retired,0
33.889999999999986,Debit,Branch,1.0,1444.75,Student,0
23.70999999999998,Debit,Branch,1.0,10788.89,Doctor,0
1830.0,Debit,Online,1.0,2235.7,Engineer,-1
26.060000000000002,Debit,ATM,1.0,12893.63,Doctor,0
17.069999999999993,Debit,Branch,1.0,2798.15,Engineer,0
703.89,Debit,Online,1.0,3583.67,Engineer,0
1271.9,Debit,ATM,1.0,2120.8,Engineer,0
26.55000000000001,Debit,ATM,1.0,3085.38,Retired,0
147.4,Debit,Branch,1.0,6797.71,Engineer,0
202.11,Debit,ATM,1.0,746.4700000000003,Student,0
308.42,Debit,Branch,1.0,5427.81,Retired,0
11.180000000000007,Debit,ATM,1.0,7467.3,Engineer,0
294.15,Debit,Online,1.0,6362.16,Engineer,0
29.579999999999984,Debit,Branch,1.0,8345.26,Engineer,0
139.45,Debit,Online,1.0,1305.7600000000002,Student,0
432.63,Debit,ATM,1.0,13648.36,Doctor,0
131.43,Debit,Online,1.0,1337.5,Doctor,0
516.72,Debit,ATM,1.0,2015.69,Engineer,0
121.82,Debit,Online,3.0,8354.54,Doctor,-1
374.5,Credit,Branch,1.0,1671.5100000000002,Student,0
166.13,Debit,ATM,1.0,11822.53,Doctor,0
626.9,Debit,ATM,1.0,587.1099999999997,Student,0
466.85,Debit,Branch,1.0,5422.53,Retired,0
788.84,Debit,Online,1.0,1913.73,Retired,0
873.6500000000001,Credit,Online,1.0,12139.83,Doctor,0
525.28,Debit,ATM,1.0,4693.6,Retired,0
110.17000000000002,Debit,ATM,1.0,464.1999999999998,Engineer,0
632.69,Debit,ATM,1.0,4363.74,Retired,0
124.35,Debit,ATM,1.0,3319.76,Retired,0
43.849999999999994,Debit,ATM,1.0,4356.98,Retired,0
283.81,Debit,Branch,1.0,1519.35,Student,0
168.53,Debit,ATM,1.0,5962.58,Retired,0
218.59,Credit,Branch,1.0,6699.23,Engineer,0
132.84,Debit,ATM,1.0,822.7299999999996,Student,0
157.37,Credit,Branch,1.0,13964.31,Doctor,0
144.77,Debit,Online,1.0,867.3199999999997,Student,0
643.22,Debit,ATM,1.0,1035.8599999999997,Doctor,0
1392.54,Debit,Branch,1.0,13347.69,Doctor,-1
208.07,Debit,Online,1.0,8478.9,Doctor,0
94.30000000000001,Debit,Branch,1.0,11088.95,Doctor,0
295.5,Debit,ATM,1.0,6280.66,Retired,0
30.230000000000018,Debit,ATM,1.0,481.1300000000001,Doctor,0
112.05000000000001,Credit,ATM,1.0,1122.8799999999997,Student,0
180.24,Debit,Branch,1.0,8431.23,Engineer,0
13.70999999999998,Credit,Online,1.0,8342.79,Engineer,0
96.54000000000002,Debit,Branch,1.0,7182.22,Retired,0
79.35,Debit,Online,1.0,1692.15,Retired,0
101.04000000000002,Debit,ATM,1.0,1695.5699999999997,Student,0
74.42000000000002,Debit,Online,1.0,6264.21,Engineer,0
39.660000000000025,Debit,Branch,1.0,8497.34,Engineer,0
99.35999999999999,Debit,ATM,1.0,1272.12,Doctor,0
123.85,Debit,Online,1.0,3959.62,Engineer,0
426.93,Debit,ATM,1.0,476.1899999999996,Student,0
133.73,Credit,Online,1.0,1872.2200000000003,Student,0
222.39,Debit,Online,1.0,3117.39,Engineer,0
215.94,Credit,Online,1.0,1841.69,Student,0
6.300000000000011,Debit,Branch,5.0,7697.68,Retired,-1
826.23,Debit,ATM,1.0,7580.59,Doctor,0
416.37,Debit,Online,1.0,7936.91,Engineer,0
131.46,Debit,Branch,1.0,6642.33,Retired,0
202.86,Credit,Branch,1.0,7642.25,Doctor,0
268.39,Debit,ATM,1.0,136.73999999999978,Student,0
194.85,Debit,Online,4.0,319.84000000000015,Student,-1
137.35,Credit,Online,1.0,12662.66,Doctor,0
712.75,Debit,Branch,1.0,8126.06,Doctor,0
353.82,Debit,ATM,1.0,705.75,Doctor,0
507.25,Debit,Branch,1.0,5331.57,Retired,0
212.74,Debit,Branch,1.0,7645.47,Engineer,0
364.42,Debit,ATM,1.0,8119.73,Engineer,0
195.12,Debit,ATM,1.0,6101.15,Doctor,0
230.61,Debit,Branch,1.0,2561.42,Retired,0
739.28,Credit,Branch,1.0,11905.64,Doctor,0
390.35,Credit,ATM,1.0,7095.88,Doctor,0
242.03,Debit,Online,1.0,4382.73,Engineer,0
242.39,Credit,ATM,1.0,1328.73,Student,0
135.02999999999997,Debit,ATM,1.0,1278.0,Student,0
83.5,Debit,Branch,5.0,1749.79,Retired,1
193.54,Debit,Branch,1.0,2929.51,Retired,0
617.36,Debit,Branch,1.0,8926.38,Engineer,0
775.23,Credit,Online,1.0,5977.59,Doctor,0
266.57,Debit,ATM,1.0,7676.92,Retired,0
153.4,Debit,ATM,1.0,4657.7,Engineer,0
946.94,Debit,Branch,1.0,5579.11,Retired,0
5.1200000000000045,Debit,Branch,1.0,3293.01,Engineer,0
119.11000000000001,Debit,ATM,1.0,7998.25,Engineer,0
1096.6999999999998,Debit,Online,1.0,1093.8900000000003,Student,0
119.72,Debit,Branch,1.0,3435.34,Engineer,0
107.4,Debit,Online,1.0,344.0699999999997,Doctor,0
115.92000000000002,Debit,ATM,1.0,3897.17,Retired,0
438.04,Debit,ATM,1.0,5358.95,Retired,0
677.29,Debit,Online,1.0,627.79,Engineer,0
296.0,Debit,Branch,1.0,7418.82,Doctor,0
299.09,Credit,Branch,1.0,5615.26,Engineer,0
461.52,Credit,Branch,1.0,1995.1800000000003,Student,0
100.51999999999998,Debit,ATM,1.0,453.3900000000003,Engineer,0
85.35,Debit,ATM,1.0,2173.76,Retired,0
79.75999999999999,Debit,Branch,1.0,6452.14,Engineer,0
778.49,Credit,Online,1.0,7713.67,Retired,0
386.38,Debit,Online,1.0,5528.36,Engineer,0
165.25,Debit,Online,1.0,9939.94,Doctor,0
14.29000000000002,Debit,ATM,1.0,7016.99,Engineer,0
232.79,Credit,Branch,1.0,2661.3,Retired,0
1237.5599999999997,Credit,Branch,1.0,9410.17,Engineer,-1
92.29000000000002,Debit,Branch,1.0,2026.3199999999997,Engineer,0
293.97,Debit,Branch,1.0,7371.85,Retired,0
136.32,Debit,Online,1.0,264.8299999999999,Student,0
251.06,Debit,Online,1.0,10001.66,Doctor,0
50.170000000000016,Credit,ATM,1.0,7752.14,Retired,0
21.399999999999977,Debit,Branch,1.0,9594.11,Engineer,0
73.28,Debit,Branch,1.0,1329.4099999999999,Student,0
70.23000000000002,Debit,ATM,1.0,11624.93,Doctor,0
689.29,Debit,ATM,1.0,168.84000000000015,Student,0
745.03,Debit,Online,1.0,160.5699999999997,Student,0
54.610000000000014,Debit,ATM,1.0,7135.64,Engineer,0
54.05000000000001,Debit,Branch,1.0,469.1400000000003,Student,0
107.47,Debit,Online,1.0,7517.5,Retired,0
611.11,Debit,ATM,4.0,919.8400000000001,Student,-1
219.63,Debit,ATM,1.0,8013.63,Doctor,0
188.7,Debit,Branch,1.0,5077.06,Retired,0
93.51999999999998,Debit,Online,1.0,2791.2,Engineer,0
275.92,Credit,Branch,1.0,1777.38,Retired,0
376.79,Debit,Branch,1.0,7749.14,Retired,0
8.980000000000018,Debit,Online,1.0,4516.76,Retired,0
697.32,Debit,Online,1.0,2016.02,Retired,0
17.44999999999999,Debit,ATM,1.0,1959.52,Student,0
302.16,Debit,Online,5.0,3876.61,Retired,-1
442.74,Debit,Branch,1.0,1790.27,Student,0
623.9,Debit,ATM,1.0,711.4700000000003,Student,0
445.41,Debit,ATM,3.0,12154.66,Doctor,-1
63.41,Debit,ATM,1.0,1546.2200000000003,Student,0
346.85,Debit,ATM,1.0,7208.15,Doctor,0
71.94999999999999,Credit,Online,1.0,9267.32,Engineer,0
7.5,Debit,Online,1.0,6485.78,Retired,0
206.46,Debit,ATM,1.0,3984.38,Retired,0
423.11,Debit,ATM,1.0,412.77999999999975,Engineer,0
35.839999999999975,Credit,Online,1.0,4795.65,Retired,0
88.6,Credit,Branch,1.0,246.5699999999997,Student,0
1431.3,Debit,ATM,1.0,1058.1300000000006,Student,0
53.81,Credit,ATM,2.0,2564.62,Engineer,-1
22.45999999999998,Debit,Online,1.0,6631.5,Retired,0
334.89,Debit,Online,1.0,1661.6800000000003,Student,0
319.27,Credit,Online,1.0,5504.01,Retired,0
